"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","previousCatalogNumber","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","sex","preparationType","individualCount","dayIdentified","relatedCatalogItem"
1,"2020-02-08 08:48:19-03","NBC","NL-BOTANY","U.1115786","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Harley RM; et al.",1974,2,27,"Southern America","Brazil","Estado Do Bahiam side road ca. 2 km from Estiva, about 12 km N of Sengor do Bonfim on the BA 130 to Juazeiro.",-40.166667,-10.383333,"-40.166667","-10.383333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1115786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1115786","NL-U1115786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2019-07-24 15:27:12-03","ASU","ASU-PLANTS","6021","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","G. Hatschbach; M. Hatschbach, O. S. Ribas, J. Carneiro",2003,6,28,NA,"Brazil","Lajeado Alto (Mun. Iacu)",-40.212377,-12.759568,"-40.212377","-12.759568","Arbusto, 1m, capitulo lilas. Caatinga.",NA,NA,"Magnoliophyta","M. Dematteis","79843","Bahia","259156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2020-02-10 17:49:57-03","UNICAMP","UEC","127556","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","A.DC.","Ribeiro-Filho, AA",1999,2,14,NA,"Brazil","Serra da Jibóia, mata de altitude., À margem da estrada da Serra da Pioneira.",-39,-12,"-39","-12","Arbusto ca. 0,6m de altura, ramificado na base. Folhas discolores, membranáceas, face superior verde e inferior esbranquiçada, invólucro verde. Flores rosas.","UEC069247","UEC069247","Magnoliopsida","Loeuille, BFP","180","Bahia",NA,2011,"Santa Terezinha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2020-02-10 17:49:57-03","UNICAMP","UEC",NA,"S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","A.DC.","Davis, PH; Lima, AD",1976,9,25,NA,"Brazil","Near caruaru, W.of Recife, Caatinga formation",-35.9761009216309,-8.28332996368408,NA,NA,"2-3ft. Shrub. Flowers whitish mauve.",NA,NA,"Magnoliopsida",NA,"61102","Pernambuco",NA,1980,"Caruaru",35136,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2020-02-10 17:49:57-03","UNICAMP","UEC","187051","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","A.DC.","Menezes, MC; Aona, LYS",2008,4,20,NA,"Brazil","Fazenda Campo Limpo,Córrego do Machado, divisa com a área da UFRB.",-39.1018981933594,-12.6700000762939,NA,NA,NA,"UEC117553","UEC117553","Magnoliopsida",NA,"1008","Bahia",NA,NA,"Cruz das Almas",14660,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2020-02-10 17:49:57-03","UNICAMP","UEC",NA,"S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","A.DC.","Carvalho, AMV; Plowman, T",1983,2,9,NA,"Brazil","Km 7 da estrada Maracás, Contendas do Sincora. Afloramento rochoso ao lado S da estrada.Campo rupestre e caatinga.",-40.4308013916016,-13.4411001205444,NA,NA,"Arbusto com ca. 2,0m de altura, crescendo na caatinga. Flores alvo-rosadas.",NA,NA,"Magnoliopsida","Hind, DJN","1561","Bahia",NA,2002,"Maracás",50558,"auto",10,NA,NA,NA,NA,NA,NA,NA,NA
9,"2019-11-19 14:04:51-03","UFRPE","PEUFR","20046","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","M. Sales",1995,5,8,NA,"Brasil","Reserva Ecológica Municipal da Prefeitura de Bonito",-35.7285995483398,-8.47027969360352,NA,NA,"Arbusto; pétlas brancas; tubo das anteras violeta","PEUFR020046",NA,NA,"B. Leonille","595","Pernambuco",NA,2015,"Bonito",20932,"auto",4,NA,NA,NA,NA,NA,NA,NA,NA
11,"2019-12-06 14:30:28-03","MBM","MBM","272587","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Bautista, H.P.; et al.; et al.",1996,7,6,"Southern America","Brazil","Barracão de Cima",-40.5182991027832,-11.1806001663208,NA,NA,NA,"MBM272587","MBM272587",NA,"Hind, D.J.N.","3456","Bahia",NA,NA,"Jacobina",62396,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2019-12-06 14:30:28-03","MBM","MBM","393826","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Ogasawara, H.A.",2013,2,23,"Southern America","Brazil","Estrada Real, Trilha para drenagem do Ventura",-41.1561012268066,-11.5500001907349,NA,NA,NA,"MBM393826","MBM393826",NA,"Ogasawara, H.A.","338","Bahia",NA,2013,"Morro do Chapéu",98143,"auto",2,NA,NA,NA,NA,NA,NA,NA,NA
14,"2019-12-06 14:30:28-03","MBM","MBM","283452","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Hatschbach, G.; et al.; et al.",2003,6,26,"Southern America","Brazil","Rodovia para Milagres",-39.6046981811523,-13.0303001403809,NA,NA,NA,"MBM283452","MBM283452",NA,"Demateis, M.","75729","Bahia",NA,NA,"Amargosa",22699,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2019-12-06 14:30:28-03","MBM","MBM","417907","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Guedes, M.L.; Amaral, E.C.A.; Xavier, B.I.A.; Amaral, E.C.A.; Xavier, B.I.A.",2017,6,7,"Southern America","Brazil","Chapada Diamantina, Margens do Rio Bonito",-41.166667,-12.683333,"-41.166667","-12.683333",NA,"MBM417907",NA,NA,"Guedes, M.L.","25740","Bahia",NA,2017,"Wagner",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
16,"2019-12-06 14:30:28-03","MBM","MBM","97731","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Noblick, L.R.",1983,5,25,"Southern America","Brazil","Campus da UEFS",-38.9667015075684,-12.2666997909546,NA,NA,NA,"MBM097731","MBM097731",NA,"Robinson, H.; Kint, R.M.","2684","Bahia",NA,NA,"Feira de Santana",46325,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
