Species
Hoplerythrinus unitaeniatus
Hoplias malabaricus
Apareiodon hasemani
Apareiodon piracicabae
Parodon hilarii
Myleus micans
Pygocentrus piraya
Serrasalmus brandtii
Leporellus vittatus
Leporinus amblyrhynchus
Leporinus bahiensis
Leporinus elongatus
Leporinus marcgravii
Leporinus obtusidens
Leporinus piau
Leporinus reinhardt
Leporinus taeniatus
Schizodon knerii
Curimatella lepidura
Cyphocharax gilbert
Steindachnerina elegans
Prochilodus argenteus
Prochilodus costatus
Prochilodus vimboides
Triportheus guentheri
Brycon nattereri
Brycon orthotaenia
Salninus franciscanus
Salminus hilarii
Acestrorhynchus lacustris
Acinocheirodon melanogramma
Astyanax eigenmanniorum
Astyanax rivulares
Astyanax taeniatus
Bryconamericus stramineus
Compsura heterura
Hasemania nana
Hemigrammus brevis
Hemigrammus gracilis 
Hemigrammus marginatus
Hyphessobricon diastatos
Hyphessobrycon micropter
Hyphessobrycon santae
Hysteronotus megalostomus
Lepidocharax burnsi
Moenkhausia costae
Moenkhausia sanctaefilomenae
Oligosarcus argenteus
Orthospinus franciscensis
Phenacogaster franciscoensis
Piabina argentea
Psellogrammus kennedy
Roeboides xenodon
Serrapinus heterodon
Serrapinus piaba
Tetragonopterus chalceus
Bunocephalus larai
Centromochlus bockmanni
Cetopsorhandia iheringi
Imparfinis borodoni
Imparfinis minutus
Phenacorhamdia tenebrosa
Pimelodella lateristriga
Pimelodella laurenti
Pimelodella vittata
Bergiaria westermanni
Pimelodus fur
Pimelodus pohli
Pseudoplatystoma coruscans
Lophiosilurus alexandri
Microglanis leptostriatus
Trichomycterus reinhardti
Corydoras difluviatilis
Corydoras garbei
Corydoras multimaculatus
Harttia longipinna
Harttia leiopleura
Harttia novalimensis
Hisonotus vespuccii
Hypostomus alatus
Hypostomus francisci
Hypostomus macrops
Otocinclus xakriaba
Pareiorhaphis stephanus
Pterygoplichthys etentaculatus
Rhinelepis aspera
Eigenmannia microstoma
Apteronotus brasiliensis
Hypsolebias alternatus
Hypsolebias delucai
Pamphorichthys hollandi
Phalloceros uai
Australoheros facetus
Cichlasoma sanctifranciscense
Geophagus brasiliensis
Pachyurus francisci
