Species
Blanchetia heterotricha
Gorceixia decurrens
Auxemma glazioviana
Brasiliopuntia brasiliensis
Melocactus zehntneri
Quiabentia zehntneri
Stephanocereus leucostele
Stephanocereus luetzelburgii
Tacinga inamoena
Glischrothamnus ulei
Fraunhofera multiflora
Aeschynomene soniae
Amburana cearensis
Calliandra aeschynomenoides
Calliandra leptopoda
Calliandra macrocalyx
Enterolobium gummiferum
Harpalyce parvifolia
Mimosa pteridifolia
Mimosa setuligera
Mimosa xiquexiquensis
Peltogyne pauciflora
Zornia echinocarpa
Zornia harmsiana
Harpochilus neesianus
Godmania dardanoi
Eriope crassipes
Anamaria heterophylla
Physocalyx scaberrimus
Lippia thymoides
Annona spinescens
Barnebya harleyi
Holoregmia viscida
Cuphea bahiensis
Cuphea circaeoides
Cuphea pulchra
Diplusodon epilobioides
Diplusodon quintuplinervius
Pleurophora anomala
Mouriri pusa
Alvimiantha tricamerata
Crumenaria decumbens
Apterokarpos gardneri
Schinopsis brasiliensis
Pilocarpus trachylophus
Diatenopteryx grazielae
Simaba ferruginea
Ipomoea campestris
Cattleya elongata
Neoglaziovia variegata 
Leiothrix distichoclada
Syngonanthus curralensis
Neesiochloa barbata























