Species
Blastocerus dichotomus
Ozotoceros bezoarticus
Chrysocyon brachyurus
Speothos venaticus
Leopardus tigrinus
Priodontes maximus
Tolypeutes tricinctus
Mergus octosetaceus
Streptoprocne biscutata
Anopetia gounellei
Augastes lumachella
Augastes scutatus
Thalurania watertonii
Caprimulgus hirundinaceus
Nyctiprogne vielliardi
Penelope jacucaca
Penelope ochrogaster
Odontophorus capueira
Caryothraustes canadensis 
Conopophaga lineata 
Conopophaga melanops 
Procnias averano
Xipholena atropurpurea
Lepidocolaptes squamatus
Xiphocolaptes falcirostris
Xiphorhynchus fuscus 
Arremon franciscanus
Embernagra longicauda
Porphyrospiza caerulescens
Sporophila albogularis
Sporophila maximiliani
Carduelis yarrellii
Automolus leucophthalmus 
Gyalophylax hellmayri
Megaxenops parnaguae
Schoeniophylax phryganophilus 
Synallaxis infuscata
Xenops minutus 
Antilophia galeata
Geositta poeciloptera
Sclerurus scansor 
Herpsilochmus longirostris
Herpsilochmus pectoralis
Herpsilochmus sellowi
Myrmeciza ruficauda
Myrmorchilus strigilatus
Myrmotherula snowi
Pyriglena atra
Pyriglena leuconota 
Sakesphorus cristatus
Terenura sicki
Tangara fastuosa
Iodopleura pipra
Alectrurus tricolor
Culicivora caudacuta
Knipolegus franciscanus
Knipolegus nigerrimus
Phyllomyias reiseri
Phylloscartes ceciliae
Phylloscartes roquettei
Platyrinchus mystaceus 
Polystictus superciliaris
Stigmatura budytoides
Picumnus exilis 
Picumnus fulvescens
Picumnus limae
Alipiopsitta xanthops
Amazona rhodocorytha
Anodorhynchus hyacinthinus
Anodorhynchus leari
Aratinga acuticaudata
Pyrrhura cruentata
Pyrrhura griseipectus
Pyrrhura pfrimeri
Crypturellus noctivagus 
Nothura minor
Taoniscus nanus
Formicivora grantsaui
Formicivora iheringi
Hemitriccus mirandae
Phylloscartes beckeri
Rhopornis ardesiacus
Scytalopus diamantinensis
Caiman latirostris
Diploglossus lessonae
Erythrolamprus viridis
Liophis viridis
Psomophis joberti
