"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","individualCount","occurrenceRemarks","recordedBy","continentOcean","verbatimLongitude","verbatimLatitude","sex","scientificNameAuthorship","preparationType","recordNumber","fieldNumber","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","relationshipType"
"1","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2112","S","Animalia","Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus","1983","07","20","Brasil","Rio Grande do Sul","Sapucaia do Sul","Zoológico","-51.1483001708984","-29.8246994018555","7291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2110","S","Animalia","Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus","1983","07","20","Brasil","Rio Grande do Sul","Sapucaia do Sul","Zoológico","-51.1483001708984","-29.8246994018555","7291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2111","S","Animalia","Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus","1983","07","20","Brasil","Rio Grande do Sul","Sapucaia do Sul","Zoológico","-51.1483001708984","-29.8246994018555","7291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4917","O","Animalia","Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Colombia","Meta","Puerto Concordia","Río Ariari afluente Río Guaviare","-72.75","2.58333333333333",NA,NA,"Chordata","Mammalia","1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4918","O","Animalia","Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Colombia","Vichada","Santa Rita","El Tuparro","-68.225","4.97166666666667",NA,NA,"Chordata","Mammalia","1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","8770003","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Luís Antônio","Estação Ecológia de Jataí","-47.799999","-21.5833",NA,NA,"Chordata","Mammalia",NA,"IDEM, 1998. 'Mamíferos da Estação Ecológica de Jataí, Luiz Antonio, São Paulo . Papéis Avulsos de Zool., S. Paulo 40 (17):267-287. Museu de Zoologia d aUniversidade de São Paulo","Luciane H. Gargaglioni, Marcelo E. Batalhão, Marina J. Lapenta, Marisa F. carvalho, Rogério V. Rossi, Vanessa P. Veruli","South America","-47.799999","-21.5833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172970006","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Bom Sucesso de Itararé",NA,"-49.116699","-24.233299",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Itapetininga.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Itapetininga¹.","South America","-49.116699","-24.233299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","104460002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Itirapina","pastagem, Fazenda Santa Elisa, propriedade do Sr. Marcos Minatel","-47.699101","-22.2862",NA,NA,"Chordata","Mammalia",NA,"Dotta, Graziela. 2005. Diversidade de mamíferos de médio e grande porte em relação à paisagem da bacia do Rio Passa-Cinco, São Paulo. Universidade de São Paulo, Piracicaba, SP.","Graziela Dotta","South America","-47.699101","-22.2862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","225680005","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Paraibuna","Os dados foram coletados na zona rural do município, em até 2mil metros ao redor do ponto de GPS, por meio de 10 questionários estruturados (reg. par01).","-45.6474214642","-23.310955143",NA,NA,"Chordata","Mammalia",NA,NA,"Camila Alvez Islas","South America","-45.6474214642","-23.310955143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","225770007","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","São Luís do Paraitinga","Os dados foram coletados na zona rural do município, em até 2mil metros ao redor do ponto de GPS, por meio de 10 questionários estruturados (reg. slp03).","-45.178482915","-23.282516915",NA,NA,"Chordata","Mammalia",NA,NA,"Camila Alvez Islas","South America","-45.178482915","-23.282516915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
