"key,""scientificName"",""decimalLatitude"",""decimalLongitude"",""issues"",""datasetKey"",""publishingOrgKey"",""installationKey"",""publishingCountry"",""protocol"",""lastCrawled"",""lastParsed"",""crawlId"",""extensions"",""basisOfRecord"",""taxonKey"",""kingdomKey"",""phylumKey"",""classKey"",""orderKey"",""familyKey"",""genusKey"",""speciesKey"",""acceptedTaxonKey"",""acceptedScientificName"",""kingdom"",""phylum"",""order"",""family"",""genus"",""species"",""genericName"",""specificEpithet"",""taxonRank"",""taxonomicStatus"",""dateIdentified"",""coordinateUncertaintyInMeters"",""stateProvince"",""year"",""month"",""day"",""eventDate"",""modified"",""lastInterpreted"",""references"",""license"",""identifiers"",""facts"",""relations"",""geodeticDatum"",""class"",""countryCode"",""recordedByIDs"",""identifiedByIDs"",""country"",""rightsHolder"",""identifier"",""http...unknown.org.nick"",""informationWithheld"",""verbatimEventDate"",""datasetName"",""verbatimLocality"",""collectionCode"",""gbifID"",""occurrenceID"",""taxonID"",""catalogNumber"",""recordedBy"",""http...unknown.org.occurrenceDetails"",""institutionCode"",""rights"",""occurrenceRemarks"",""identificationID"",""name"",""organismQuantity"",""organismQuantityType"",""http...rs.tdwg.org.dwc.terms.organismQuantity"",""institutionID"",""county"",""eventTime"",""samplingProtocol"",""http...rs.tdwg.org.dwc.terms.organismQuantityType"",""type"",""elevation"",""elevationAccuracy"",""verbatimCoordinateSystem"",""vernacularName"",""verbatimElevation"",""individualCount"",""habitat"",""samplingEffort"",""locality"",""eventRemarks"",""language"",""locationAccordingTo"",""locationRemarks"",""previousIdentifications"",""fieldNotes"",""identificationRemarks"",""continent"",""recordNumber"",""preparations"",""identifiedBy"",""coordinatePrecision"",""identificationReferences"",""acceptedNameUsage"",""verbatimTaxonRank"",""lifeStage"",""georeferencedBy"",""associatedReferences"",""municipality"",""taxonRemarks"",""sex"",""higherClassification"",""dynamicProperties"",""georeferenceRemarks"",""disposition"",""reproductiveCondition"",""eventID"",""identificationVerificationStatus"",""occurrenceStatus"",""originalNameUsage"",""datasetID"",""nameAccordingTo"",""depth"",""depthAccuracy"",""higherGeography"",""otherCatalogNumbers"",""establishmentMeans"",""infraspecificEpithet"",""nomenclaturalCode"",""endDayOfYear"",""startDayOfYear"",""accessRights"",""bibliographicCitation"",""collectionID"",""georeferenceVerificationStatus"",""behavior"",""fieldNumber"",""organismID"",""ownerInstitutionCode"",""associatedOccurrences"",""X.1f2c0cbe.40df.43f6.ba07.e76133e78c31."",""georeferencedDate"",""georeferenceProtocol"",""identificationQualifier"",""georeferenceSources"",""typeStatus"",""locationID"",""parentNameUsage"",""projectId"",""earliestAgeOrLowestStage"",""namePublishedInYear"",""taxonConceptID"",""lithostratigraphicTerms"",""http...unknown.org.rights"",""http...unknown.org.language"",""http...unknown.org.rightsHolder"",""associatedSequences"",""organismRemarks""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2429571054,""Speothos venaticus (Lund, 1842)"",-0.509671,-76.255788,""cdround,gass84"",""50c9509d-22c7-4a22-a47d-8c48425ef4a7"",""28eb1a3f-1c15-4a95-931a-4af90ecb574d"",""997448a8-f762-11e1-a439-00145eb45e9a"",""US"",""DWC_ARCHIVE"",""2020-04-07T13:49:55.015+0000"",""2020-04-07T15:14:37.536+0000"",209,""none"",""HUMAN_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",""2019-10-13T12:58:37"",31451,""Orellana"",2019,1,1,""2019-01-01T00:00:00"",""2020-01-14T01:08:13.000+0000"",""2020-04-07T15:14:37.536+0000"",""https://www.inaturalist.org/observations/34299054"",""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""EC"",""none"",""none"",""Ecuador"",""Felipe Campos"",""34299054"",""felipecampos"",""Coordinate uncertainty increased to 31451m to protect threatened taxon"",""2019/01/01"",""iNaturalist research-grade observations"",""Orellana, EC-OR, EC"",""Observations"",""2429571054"",""https://www.inaturalist.org/observations/34299054"",""42089"",""34299054"",""Felipe Campos"",""https://www.inaturalist.org/observations/34299054"",""iNaturalist"",""� Felipe Campos some rights reserved"",""Proyecto SIMBIO - cacer�a"",""74331588"",""Speothos venaticus (Lund, 1842)"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2556487724,""Speothos venaticus (Lund, 1842)"",3.551472,-73.409839,""gass84"",""cf557dff-b9cb-4a23-bf74-a927fef0d7b6"",""f5db868f-e5bf-4208-bd9d-d4063ae1c825"",""68845aab-a453-4816-b36d-a3ec8455deb0"",""CO"",""DWC_ARCHIVE"",""2020-02-05T09:28:45.460+0000"",""2020-02-10T10:32:27.077+0000"",19,""none"",""MACHINE_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",NA,NA,""Meta"",2019,4,26,""2019-04-26T00:00:00"",NA,""2020-02-10T10:32:27.077+0000"",NA,""http://creativecommons.org/licenses/by/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",NA,""Animalia:2019:V92"",NA,NA,NA,NA,NA,NA,""2556487724"",""Animalia:2019:V92"",NA,NA,NA,NA,""Terrasos"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",3,""Individuo"",""3"",""900.582.496-0"",""San Martin"",""16:43:00"",""Foto trampeo"",""Individuo"",""Imagen en movimiento"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2294339465,""Speothos venaticus (Lund, 1842)"",0.123694,-70.965389,""cdround"",""0aa51ae3-1648-4640-8ad9-e4818b26b823"",""9d77fdeb-100f-4b29-98ad-4effdd824457"",""338bd13b-2c49-466b-9f4f-4a0b79f8ed1a"",""CO"",""DWC_ARCHIVE"",""2020-02-04T14:26:10.435+0000"",""2020-02-10T10:34:33.583+0000"",9,""none"",""HUMAN_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",NA,3,""Vaup�s"",2018,2,23,""2018-02-23T00:00:00"",NA,""2020-02-10T10:34:33.583+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",NA,""ColombiaBio:SINCHI:Apaporis:MAMIFEROS:OBS:2018:89"",NA,NA,NA,NA,""Cerro Morroco"",NA,""2294339465"",""ColombiaBio:SINCHI:Apaporis:MAMIFEROS:OBS:2018:89"",NA,NA,""Natalia Atuesta"",NA,""Instituto Amaz�nico de Investigaciones Cient�ficas SINCHI"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",1,""Individuos"",""1"",NA,""Pacoa"",NA,""Rastro"",""Individuos"",""PhysicalObject"",154,0,""Grados, minutos, segundos"",""Perro vinagre"",""154"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2237549155,""Speothos venaticus (Lund, 1842)"",4.13341,-76.324,"""",""6c653621-ca42-4a8b-9ca0-0192af0dff55"",""2627e955-93f5-4206-bac5-a1e3bd91ee37"",""68845aab-a453-4816-b36d-a3ec8455deb0"",""CO"",""DWC_ARCHIVE"",""2020-02-04T14:54:26.277+0000"",""2020-02-10T10:38:51.403+0000"",20,""none"",""HUMAN_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",NA,NA,""Valle del Cauca"",2018,9,14,""2018-09-14T00:00:00"",NA,""2020-02-10T10:38:51.403+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",NA,""CPR-CELSIA:_2018_Riofr�o_MAV:57"",NA,NA,""2018/09/09-18"",NA,NA,""CPR_MAV_2018_Riofr�o_II"",""2237549155"",""CPR-CELSIA:_2018_Riofr�o_MAV:57"",NA,""Riofr�o_II:2018:MAV_57"",""Marco Aar�n Villegas"",NA,""Corporaci�n Paisajes Rurales (CPR)"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",NA,NA,NA,""900265191-0"",""Riofr�o"",NA,""Transecto (Conteo visual y auditivo)";" Captura directa"",NA,""Evento"",1020,10,NA,NA,NA,1,""Vegetaci�n secundaria"",""14 hours/man"",""Corregimiento de Sal�nica"",""Dentro del Transecto"",""es"",""GPS Garmin Etrex 3D"",""Ventana El Tablazo"",""Speothos venaticus"",""MAVT:2018-CPR-CELSIA: Riofr�o II"",""Porcentaje de certeza: 100%"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2423051618,""Speothos venaticus (Lund, 1842)"",6.064456,-68.911673,""cdround,gass84"",""50c9509d-22c7-4a22-a47d-8c48425ef4a7"",""28eb1a3f-1c15-4a95-931a-4af90ecb574d"",""997448a8-f762-11e1-a439-00145eb45e9a"",""US"",""DWC_ARCHIVE"",""2020-04-07T13:49:55.015+0000"",""2020-04-07T15:16:40.507+0000"",209,""none"",""HUMAN_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",""2019-09-13T17:18:39"",31362,""Vichada"",2018,11,15,""2018-11-15T08:23:00"",""2020-01-14T01:07:36.000+0000"",""2020-04-07T15:16:40.507+0000"",""https://www.inaturalist.org/observations/32649972"",""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",""jumabita"",""32649972"",""jumabita"",""Coordinate uncertainty increased to 31362m at the request of the observer"",""2018/11/15 08:23 AM -0500"",""iNaturalist research-grade observations"",""Colombia"",""Observations"",""2423051618"",""https://www.inaturalist.org/observations/32649972"",""42089"",""32649972"",""jumabita"",""https://www.inaturalist.org/observations/32649972"",""iNaturalist"",""� jumabita some rights reserved"",""Muy contentos con esta observacion lograda con la Fundacion Omacha mediante fototrampeo. Es una especie bastante rara y dificil de encontrar debido a que es muy sensible a la intervencion del habitat";" es decir que se mantiene muy alejado de las zonas pobladas por humanos. Se le conoce tambien como Zorro Vinagre, Perro de monte o Perro de selva. DeMatteo, K., Michalski , F. & Leite-Pitman, M.R.P. (2011)"",""70750898"",""Speothos venaticus (Lund, 1842)"",NA,NA,NA,NA,NA,""13:23:00Z"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1949916594,""Speothos venaticus (Lund, 1842)"",1.672639,-75.905667,""cdround"",""4b99d5d8-5d62-4f17-89cc-b1bd3bc242ec"",""9d77fdeb-100f-4b29-98ad-4effdd824457"",""338bd13b-2c49-466b-9f4f-4a0b79f8ed1a"",""CO"",""DWC_ARCHIVE"",""2020-02-04T18:54:28.574+0000"",""2020-02-10T11:16:29.952+0000"",56,""none"",""HUMAN_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",NA,3,""Caquet�"",2017,1,25,""2017-01-25T00:00:00"",NA,""2020-02-10T11:16:29.952+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",NA,""ColombiaBio:SINCHI:FAUNA:2017-1:47"",NA,NA,NA,NA,""""""Caquet�, Bel�n de los Andaqu�es, Camino Andak�, Sector Qda. La Profunda"""""",NA,""1949916594"",""ColombiaBio:SINCHI:FAUNA:2017-1:47"",NA,NA,""Javier Garcia Villalba"",NA,""Instituto Amaz�nico de Investigaciones Cient�ficas SINCHI"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",NA,""Individuos"",NA,""860061110-3"",""Bel�n de los Andaqu�es"",NA,""Rastro | Huellas"",""Individuos"",""Evento"",1212,0,""""""Grados, minutos, segundos"""""",""Perrito de monte"",""1212"",NA,""Bosque denso alto"",NA,""""""Camino Andak�, Sector quebrada La Profunda"""""",NA,NA,NA,NA,NA,NA,NA,""SOUTH_AMERICA"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2012890381,""Speothos venaticus (Lund, 1842)"",5.59818,-68.60045,""muluriiv"",""e4936d74-c4d0-48f0-91ec-e95451091ec5"",""2a7e3080-28a9-11dd-97cd-b8a03c50a862"",""804b8dd0-07ac-4a30-bf92-3c1d862faf5e"",""CO"",""DWC_ARCHIVE"",""2020-02-04T15:32:57.266+0000"",""2020-02-10T10:40:54.242+0000"",26,""none"",""MACHINE_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",""2017-06-13T00:00:00"",NA,""Vichada"",2017,4,13,""2017-04-13T00:00:00"",NA,""2020-02-10T10:40:54.242+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""CO"",""none"",""none"",""Colombia"",NA,""IAvH:CBB:COLOMBIABIO:FOTOTRAMPEO:OBSERVACIONCONMAQUINA:I2D-BIO_2019_036:363"",NA,NA,NA,NA,""C37-CT305"",""Intituto de Investigaci�n de Recursos Biol�gicos Alexander von Humboldt (IAvH)"",""2012890381"",""IAvH:CBB:COLOMBIABIO:FOTOTRAMPEO:OBSERVACIONCONMAQUINA:I2D-BIO_2019_036:363"",NA,""IAvH:CBB:COLOMBIABIO:FOTOTRAMPEO:OBSERVACIONCONMAQUINA:I2D-BIO_2018_008:363"",""Beatriz Henao Bustamante"",NA,""Intituto de Investigaci�n de Recursos Biol�gicos Alexander von Humboldt (IAvH)"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",NA,NA,NA,NA,""Puerto Carre�o"",""16:03"",""C�mara-trampa"",NA,""Imagen est�tica"",77,0,NA,""Perro vinagre"",NA,NA,""Bosque ripario"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""BHB_0363"",""Fotograf�a"",""Beatriz Henao Bustamante"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2427480504,""Speothos venaticus (Lund, 1842)"",4.93047,-55.21643,"""",""276faef3-acd9-40a8-805f-9db8d30f9095"",""41b097fd-180c-4836-baa3-db959436aee6"",""0213a1ce-cdd7-44fd-b4de-89ca889a7070"",""SR"",""DWC_ARCHIVE"",""2020-02-04T13:54:45.424+0000"",""2020-02-10T10:24:53.196+0000"",1,""none"",""MACHINE_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",""2019-05-31T00:00:00"",30,""Brokopondo"",2017,4,24,""2017-04-24T13:53:42"",NA,""2020-02-10T10:24:53.196+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""SR"",""none"",""none"",""Suriname"",NA,""urn:catalog:NeoWild:Camtrap:CT6240"",NA,NA,""2017-04-24T13:53:42.000Z"",""Brownsberg long-term mammal monitoring from 2016 onwards"",""PP 0.7 L"",""Camtrap"",""2427480504"",""urn:catalog:NeoWild:Camtrap:CT6240"",NA,NA,""Paul E. Ouboter | Vanessa S. Kadosoe"",NA,""NeoWild"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",2,""individuals"",""2"",NA,NA,NA,NA,""individuals"",NA,NA,NA,NA,""Bush Dog (EN) | Boshond (NL) | Busdagu (SR)"",NA,2,NA,NA,""PP 0.7 L"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""photograph"",""Marco P. Ouboter | Dimitri A. Ouboter"",1e-05,""Emmons, L. H., & Feer, F. (1997). Neotropical rainforest mammals. A field guide (Second edition). University of Chicago Press, 396 pp. | Husson, A. M. (1978). The mammals of Suriname (Vol. 2). Brill Archive, 729 pp."",""Speothos venaticus (Lund, 1842)"",""SPECIES"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2427482614,""Speothos venaticus (Lund, 1842)"",4.94075,-55.18997,"""",""276faef3-acd9-40a8-805f-9db8d30f9095"",""41b097fd-180c-4836-baa3-db959436aee6"",""0213a1ce-cdd7-44fd-b4de-89ca889a7070"",""SR"",""DWC_ARCHIVE"",""2020-02-04T13:54:45.424+0000"",""2020-02-10T10:24:53.348+0000"",1,""none"",""MACHINE_OBSERVATION"",2434444,1,44,359,732,9701,2434443,2434444,2434444,""Speothos venaticus (Lund, 1842)"",""Animalia"",""Chordata"",""Carnivora"",""Canidae"",""Speothos"",""Speothos venaticus"",""Speothos"",""venaticus"",""SPECIES"",""ACCEPTED"",""2019-06-03T00:00:00"",30,""Brokopondo"",2017,8,13,""2017-08-13T09:48:26"",NA,""2020-02-10T10:24:53.348+0000"",NA,""http://creativecommons.org/licenses/by-nc/4.0/legalcode"",""none"",""none"",""none"",""WGS84"",""Mammalia"",""SR"",""none"",""none"",""Suriname"",NA,""urn:catalog:NeoWild:Camtrap:CT5393"",NA,NA,""2017-08-13T09:48:26.000Z"",""Brownsberg long-term mammal monitoring from 2016 onwards"",""MW2 L"",""Camtrap"",""2427482614"",""urn:catalog:NeoWild:Camtrap:CT5393"",NA,NA,""Paul E. Ouboter | Vanessa S. Kadosoe"",NA,""NeoWild"",NA,NA,NA,""Speothos venaticus (Lund, 1842)"",1,""individuals"",""1"",NA,NA,NA,NA,""individuals"",NA,NA,NA,NA,""Bush Dog (EN) | Boshond (NL) | Busdagu (SR)"",NA,1,NA,NA,""MW2 L"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""photograph"",""Marco P. Ouboter | Dimitri A. Ouboter"",1e-05,""Emmons, L. H., & Feer, F. (1997). Neotropical rainforest mammals. A field guide (Second edition). University of Chicago Press, 396 pp. | Husson, A. M. (1978). The mammals of Suriname (Vol. 2). Brill Archive, 729 pp."",""Speothos venaticus (Lund, 1842)"",""SPECIES"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
